COLOR ID,COLOR,SHORTCUT,,,,
299,DEEP APRICOT,DP.APRI,,,,
300,SANDY BROWN,S.BRO,,,,
301,CHAMELEON,Chamel,,,,
302,NIGHT GRAY,NT.GRAY,,,,
303,NUDE,NUDE,,,,
304,SHALLOW SAND,S.SAND,,,,
305,PEARL WHITE,P.WHT,,,,
306,BLUE/BLACK,BLU/BLK,,,,
307,DEEP PINK,DP. PNK,,,,
308,BRILLIANT BLUE,BRLNT BLU,,,,
309,MAROON/WHITE,MAR/WHT,,,,
310,CYAN BLUE,C.BLU,,,,
311,EARTH GRAY,E.GRY,,,,
312,IRON GRAY,IRON GRY,,,,
313,LAVANDER,LAVANDER,,,,
314,STONE GRAY,ST.GRY,,,,
315,BEIGE/TAN,BEI/TAN,,,,
54,Mint green,m.green,,,,
317,OFF WHITE/BLUE,O.WHT/BLU,,,,
318,BLACK/MOCHA,BLK/MOC,,,,
319,POWDER GRAY,PW GRY,,,,
320,POWDER PINK,PW PNK,,,,
321,IRON BLUE,IRN BLU,,,,
322,SHALLOW GRAY,SH GRY,,,,
323,YELLOW GOLD,YEL GOLD,,,,
324,INDIGO,INDG,,,,
325,CAMOUFLAGE GREEN,CAM.GRN,,,,
326,BLACK/WHITE HEART,BLK/WHT HEART,,,,
327,MULTI HEART,MULTI HEART,,,,
328,BLACK/PURPLE,BLK/PURP,,,,
329,BLACK/REDWINE,BLK/R.WINE,,,,
330,APRICOT/LAVENDER,APRI/LAV,,,,
331,BROWN/PEACH,BRO/PCH,,,,
332,BRICK RED,BR.RED,,,,
333,CHERRY RED,CHER.RED,,,,
334,CHERRY POWDER,CHER.PWDR,,,,
335,DARK PINK,D.PINK,,,,
336,BLACK/SOFT PINK,BLK/S.PINK,,,,
337,TAN/BLACK,TAN/BLK,,,,
338,ARMY GREEN/BEIGE,AR.GRN/BEI,,,,
339,GRAY/BLACK,GRY/BLK,,,,
340,LIGHT PURPLE/BLACK,LT.PUR/BLK,,,,
341,KHAKI/TAN,KHK/TAN,,,,
342,LIGHT BLUE/LIGHT GRY,L.BLU/L.GRY,,,,
343,BLACK/BEIGE,BLK/BEI,,,,
344,ARMY GREEN/PINK,AR.GRN/PNK,,,,
345,PINK/ARMY.GREEN,PINK/AR.GRN,,,,
346,LIGHT BLUE/BLUE,LT.BLU/BLU,,,,
347,YELLOW/OFF WHITE,YEL/O.WHT,,,,
348,MAROON/SOFT PINK,MAR/S.PNK,,,,
349,TAN/BEIGE,TAN/BEI,,,,
350,ARMY GREEN/BLUE,AR.GRN/BLU,,,,
351,COFFEE/TAN,COF/TAN,,,,
352,CHERRY PINK,CHER.PNK,,,,
353,DEEP GREEN,DP.GRN,,,,
354,MAROON/BLACK,MAR/BLK,,,,
355,ARMY GREEN/BLACK,AR.GRN/BLK,,,,
356,BROWN/BLACK,BRO/BLK,,,,
357,OFF WHITE/ARMY GREEN,O.WHT/AR.GRN,,,,
358,BLACK/DARK GRAY,BLK/D.GRY,,,,
359,ARMY GREEN/OFF WHITE,AR.GRN/O.WHT,,,,
360,MOCHA/BLACK,MOC/BLK,,,,
361,MUD GRAY,MUD GRY,,,,
362,CARBON GREEN,CRBN GRN,,,,
363,PICKLES GREEN,PICK.GRN,,,,
364,SOIL,SOIL,,,,
365,ORCHID,ORCD,,,,
366,BEIGE/PERFUME,BEI/PF,,,,
367,BEIGE/CAR,BEI/CAR,,,,
368,PEARL GOLD,PRL GLD,,,,
369,PEARL SILVER,PRL SIL,,,,
370,MUSTARD/BLACK,MUST/BLK,,,,
371,GREEN/CAMEL,GRN/CML,,,,
372,RED/BLACK,RED/BLK,,,,
373,SNAKE SKIN,SNK SKN,,,,
374,PEARL BEIGE,PRL BEI,,,,
375,SOFT PINK/MAROON,S.PNK/MAR,,,,
376,BROWN/TAN,BRO/TAN,,,,
378,MINT GREEN/GRAY,M.GRN/GRY,,,,
316,MINT GREEN/OFF WHITE,M.GRN/O.WHT,,,,
379,YELLOW/GRAY,YEL/GRY,,,,
380,PINK/GRAY,PNK/GRY,,,,
381,BLACK/BLUE,BLK/BLU,,,,
382,GREEN/ARMY GREEN,GRN/AR.GRN,,,,
383,TURQOISE,TURQ,,,,
384,BROWN/MOCHA,BRO/MOC,,,,
385,PINK/MOCHA,PNK/MOC,,,,
386,TAN/COFFEE,TAN/COF,,,,
387,BLACK/GREEN,BLK/GRN,,,,
388,PINK/GREEN,PNK/GRN,,,,
389,BEIGE/YELLOW,BEI/YEL,,,,
390,RED/MOCHA,RED/MOC,,,,
391,7 FEET,"7""",,,,
392,5 FEET,"5""",,,,
393,TEA GREEN,TEA GRN,,,,
394,BEIGE/PINK,BEI/PNK,,,,
395,BEIGE/BROWN,BEI/BRO,,,,
396,KHAKI/BROWN,KHK/BRO,,,,
397,GRAY/PINK,GRY/PNK,,,,
398,CHOCOLATE BROWN,CHOCBRO,,,,
399,BLACK/OFF WHITE,BLK/O.WHT,,,,
400,COFFEE/APRICOT,COF/APRI,,,,
401,TAN/RED,TAN/RED,,,,
402,TAN/GREEN,TAN/GRN,,,,
403,BOW KNOT,BOWKNOT,,,,
404,CHERRY PATTERN,CHRY PATT,,,,
405,ZEBRA,ZEBRA,,,,
406,DUSTY BLUE,DST BLU,,,,
407,ARROW COFFEE,ARRW COF,,,,
408,COFFEE CHECKERED,COF CHKRD,,,,
409,CHEETAH,CHETAH,,,,
410,CHECKERED MOCHA,CHKRD MOC,,,,
411,ARROW BEIGE,ARRW BEI,,,,
412,KC BEIGE,KC BEI,,,,
413,KC BROWN,KC BRO,,,,
414,BROWN CHECKERED,BRO CHKRD,,,,
415,BIRD CHECKERED,BRD CHKRD,,,,
416,GRAY/GREEN,GRY/GRN,,,,
417,BOWKNOT KHAKI,BOWKNT KHK,,,,
418,SKINTONE,SKNTONE,,,,
419,SQUIRREL GRAY,SQRL GRY,,,,
420,COFFEE KC,COF KC,,,,
421,F COFFEE,F COF,,,,
422,F BEIGE,F BEI,,,,
423,BEI/BLU STRIPE,BEI/BLU ST,,,,
424,BEI/PNK STRIPE,BEI/PNK ST,,,,
425,SUNFLOWER BEIGE,SF BEI,,,,
426,SUNFLOWER KHAKI,SF KHK,,,,
427,PEGION EGG BEI,PE BEI,,,,
428,COLORFUL FLOWER,CF FLOWER,,,,
429,GOLDENROD,GLDNROD,,,,
430,TOFFEE,TOFF,,,,
431,LIGHT PINK,LT PNK,,,,
432,EARTH PINK,ERTH PNK,,,,
433,CHERRY MOCHA,CHRY MOC,,,,
434,CHOCOLATE ,CHOCO,,,,
435,RED ORANGE,RED ORG,,,,
436,ALPHINE GREEN,ALPHN GRN,,,,
437,HONEY GOLD,HON GLD,,,,
438,MANGO TANGO,MNG TNGO,,,,
439,MOONLIGHT,MOONLT,,,,
440,BISTRO GREEN,BSTRO GRN,,,,
441,MAHOGANY,MAHO,,,,
442,BEIGE CHECKERED,BEI CHKRD,,,,
443,CHESTNUT,CHSTNT,,,,
444,MUD BROWN,MUD,,,,
445,GREEN/APRICOT,GRN/APRI,,,,
446,BEIGE/GREEN,BEI/GRN,,,,
447,APRICOT/MOCHA,APRI/MOC,,,,
448,CASHMERE,CSHMR,,,,
449,BRONZE BROWN,BRNZ BRO,,,,
450,IVORY,IVRY,,,,
451,SAGE GREEN,SAGE GRN,,,,
452,LIGHT YELLOW,LT.YEL,,,,
453,FAIR GREEN,FR GRN,,,,
454,CHAMPAGNE,CHMPGN,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
